,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
0,사과,411,후지(10개),05,상품,04,10개,당일 (04/28),"24,907",1일전 (04/27),"25,150",1주일전 (04/21),"23,960",2주일전 (04/14),"24,579",1개월전,"24,242",1년전,"31,790",일평년,"22,761"
1,사과,411,후지(10개),05,중품,05,10개,당일 (04/28),"18,775",1일전 (04/27),"18,775",1주일전 (04/21),"17,945",2주일전 (04/14),"18,278",1개월전,"16,627",1년전,"19,373",일평년,"16,949"
2,배,412,신고(10개),01,상품,04,10개,당일 (04/28),"29,333",1일전 (04/27),"30,418",1주일전 (04/21),"30,418",2주일전 (04/14),"30,008",1개월전,"28,750",1년전,"36,033",일평년,"33,583"
3,배,412,신고(10개),01,중품,05,10개,당일 (04/28),"23,778",1일전 (04/27),"23,778",1주일전 (04/21),"23,500",2주일전 (04/14),"24,005",1개월전,"24,100",1년전,"30,305",일평년,"26,978"
4,포도,414,레드글로브 칠레(1kg),08,상품,04,1kg,당일 (04/28),"8,320",1일전 (04/27),"8,320",1주일전 (04/21),-,2주일전 (04/14),-,1개월전,-,1년전,-,일평년,"7,995"
5,바나나,418,수입(100g),02,상품,04,100g,당일 (04/28),356,1일전 (04/27),356,1주일전 (04/21),326,2주일전 (04/14),336,1개월전,329,1년전,310,일평년,289
6,바나나,418,수입(100g),02,중품,05,100g,당일 (04/28),335,1일전 (04/27),335,1주일전 (04/21),335,2주일전 (04/14),335,1개월전,304,1년전,265,일평년,257
7,참다래,419,국산(10개),01,상품,04,10개,당일 (04/28),-,1일전 (04/27),-,1주일전 (04/21),"8,880",2주일전 (04/14),"8,880",1개월전,"9,410",1년전,-,일평년,"7,118"
8,참다래,419,국산(10개),01,중품,05,10개,당일 (04/28),"7,370",1일전 (04/27),"7,370",1주일전 (04/21),"6,763",2주일전 (04/14),"7,180",1개월전,-,1년전,-,일평년,"5,017"
9,파인애플,420,수입(1개),02,상품,04,1개,당일 (04/28),"7,523",1일전 (04/27),"7,523",1주일전 (04/21),"7,523",2주일전 (04/14),"7,230",1개월전,"7,222",1년전,"6,293",일평년,"5,694"
10,파인애플,420,수입(1개),02,중품,05,1개,당일 (04/28),"6,825",1일전 (04/27),"6,825",1주일전 (04/21),"6,325",2주일전 (04/14),"6,325",1개월전,"6,660",1년전,"5,663",일평년,"4,763"
11,오렌지,421,네이블 미국(10개),03,상품,04,10개,당일 (04/28),"14,300",1일전 (04/27),"15,300",1주일전 (04/21),"14,500",2주일전 (04/14),"14,967",1개월전,"16,900",1년전,"15,164",일평년,"11,141"
12,오렌지,421,네이블 미국(10개),03,중품,05,10개,당일 (04/28),"12,200",1일전 (04/27),"13,200",1주일전 (04/21),"11,867",2주일전 (04/14),"11,933",1개월전,"13,437",1년전,"12,000",일평년,"10,211"
13,레몬,424,수입(10개),00,상품,04,10개,당일 (04/28),"9,748",1일전 (04/27),"9,748",1주일전 (04/21),"9,752",2주일전 (04/14),"9,683",1개월전,"9,843",1년전,"9,698",일평년,"9,285"
14,레몬,424,수입(10개),00,중품,05,10개,당일 (04/28),"7,443",1일전 (04/27),"7,443",1주일전 (04/21),"7,850",2주일전 (04/14),"7,443",1개월전,"7,310",1년전,"6,950",일평년,"7,129"
15,망고,428,수입(1개),00,상품,04,1개,당일 (04/28),"4,460",1일전 (04/27),"4,994",1주일전 (04/21),"5,296",2주일전 (04/14),"5,348",1개월전,"5,910",1년전,"4,465",일평년,"4,213"
16,망고,428,수입(1개),00,중품,05,1개,당일 (04/28),"3,455",1일전 (04/27),"3,564",1주일전 (04/21),"3,563",2주일전 (04/14),"3,645",1개월전,"3,732",1년전,-,일평년,"3,386"
17,아보카도,430,수입(1개),00,상품,04,1개,당일 (04/28),"2,140",1일전 (04/27),"2,140",1주일전 (04/21),"2,140",2주일전 (04/14),"2,240",1개월전,"2,240",1년전,"3,245",일평년,"3,245"
