,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
0,배추,211,월동(1포기),06,상품,04,1포기,당일 (04/28),"3,864",1일전 (04/27),"3,864",1주일전 (04/21),"3,813",2주일전 (04/14),"3,943",1개월전,"3,426",1년전,"5,203",일평년,"4,187"
1,배추,211,월동(1포기),06,중품,05,1포기,당일 (04/28),"4,375",1일전 (04/27),"4,375",1주일전 (04/21),"4,135",2주일전 (04/14),"4,100",1개월전,"3,610",1년전,"4,153",일평년,"3,304"
2,양배추,212,양배추(1포기),00,상품,04,1포기,당일 (04/28),"4,313",1일전 (04/27),"4,047",1주일전 (04/21),"3,693",2주일전 (04/14),"3,447",1개월전,"3,759",1년전,"4,397",일평년,"3,958"
3,양배추,212,양배추(1포기),00,중품,05,1포기,당일 (04/28),"3,226",1일전 (04/27),"3,226",1주일전 (04/21),"3,286",2주일전 (04/14),"3,212",1개월전,"3,426",1년전,"3,932",일평년,"3,130"
4,시금치,213,시금치(1kg),00,상품,04,1kg,당일 (04/28),"5,803",1일전 (04/27),"5,803",1주일전 (04/21),"5,834",2주일전 (04/14),"5,807",1개월전,"6,171",1년전,"6,657",일평년,"5,102"
5,상추,214,적(100g),01,상품,04,100g,당일 (04/28),"1,084",1일전 (04/27),"1,070",1주일전 (04/21),"1,150",2주일전 (04/14),"1,066",1개월전,"1,022",1년전,937,일평년,785
6,상추,214,적(100g),01,중품,05,100g,당일 (04/28),690,1일전 (04/27),710,1주일전 (04/21),710,2주일전 (04/14),710,1개월전,580,1년전,564,일평년,505
7,상추,214,청(100g),02,상품,04,100g,당일 (04/28),"1,152",1일전 (04/27),"1,135",1주일전 (04/21),"1,177",2주일전 (04/14),"1,078",1개월전,"1,029",1년전,"1,012",일평년,807
8,얼갈이배추,215,얼갈이배추(1kg),00,상품,04,1kg,당일 (04/28),"2,648",1일전 (04/27),"2,597",1주일전 (04/21),"2,727",2주일전 (04/14),"2,917",1개월전,"3,206",1년전,"2,859",일평년,"2,204"
9,수박,221,수박(1개),00,상품,04,1개,당일 (04/28),"21,698",1일전 (04/27),"22,148",1주일전 (04/21),"23,148",2주일전 (04/14),"26,398",1개월전,-,1년전,"19,825",일평년,"19,497"
10,수박,221,수박(1개),00,중품,05,1개,당일 (04/28),"19,675",1일전 (04/27),"20,800",1주일전 (04/21),"21,978",2주일전 (04/14),"24,298",1개월전,"25,698",1년전,"20,473",일평년,"17,717"
11,참외,222,참외(10개),00,상품,04,10개,당일 (04/28),"19,453",1일전 (04/27),"20,696",1주일전 (04/21),"21,889",2주일전 (04/14),"27,573",1개월전,"36,491",1년전,"26,156",일평년,"20,945"
12,참외,222,참외(10개),00,중품,05,10개,당일 (04/28),"15,000",1일전 (04/27),"15,000",1주일전 (04/21),"20,000",2주일전 (04/14),"19,980",1개월전,"21,088",1년전,"15,000",일평년,"16,470"
13,오이,223,가시계통(10개),01,상품,04,10개,당일 (04/28),"13,300",1일전 (04/27),"11,630",1주일전 (04/21),"14,540",2주일전 (04/14),"16,625",1개월전,"19,970",1년전,"10,970",일평년,"10,292"
