,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
14,오이,223,다다기계통(10개),02,상품,04,10개,당일 (04/28),"7,637",1일전 (04/27),"7,446",1주일전 (04/21),"8,539",2주일전 (04/14),"8,324",1개월전,"10,485",1년전,"7,073",일평년,"5,726"
15,오이,223,취청(10개),03,상품,04,10개,당일 (04/28),"10,758",1일전 (04/27),"10,482",1주일전 (04/21),"13,037",2주일전 (04/14),"13,773",1개월전,"13,604",1년전,"9,528",일평년,"7,940"
16,호박,224,애호박(1개),01,상품,04,1개,당일 (04/28),"1,531",1일전 (04/27),"1,531",1주일전 (04/21),"1,693",2주일전 (04/14),"1,694",1개월전,"2,105",1년전,"1,194",일평년,"1,100"
17,호박,224,애호박(1개),01,중품,05,1개,당일 (04/28),"1,195",1일전 (04/27),"1,195",1주일전 (04/21),"1,415",2주일전 (04/14),"1,465",1개월전,"1,790",1년전,"1,000",일평년,912
18,호박,224,쥬키니(1개),02,상품,04,1개,당일 (04/28),"1,140",1일전 (04/27),"1,140",1주일전 (04/21),"1,000",2주일전 (04/14),"1,250",1개월전,-,1년전,"1,547",일평년,"1,056"
19,토마토,225,토마토(1kg),00,상품,04,1kg,당일 (04/28),"5,167",1일전 (04/27),"5,167",1주일전 (04/21),"5,373",2주일전 (04/14),"6,142",1개월전,"6,866",1년전,"5,425",일평년,"4,705"
20,딸기,226,딸기(100g),00,상품,04,100g,당일 (04/28),"1,113",1일전 (04/27),"1,047",1주일전 (04/21),"1,097",2주일전 (04/14),"1,040",1개월전,"1,317",1년전,"1,014",일평년,949
21,딸기,226,딸기(100g),00,중품,05,100g,당일 (04/28),800,1일전 (04/27),800,1주일전 (04/21),800,2주일전 (04/14),800,1개월전,824,1년전,760,일평년,737
22,무,231,월동(1개),06,상품,04,1개,당일 (04/28),"1,902",1일전 (04/27),"2,167",1주일전 (04/21),"1,983",2주일전 (04/14),"2,063",1개월전,"1,985",1년전,"1,678",일평년,"1,862"
23,무,231,월동(1개),06,중품,05,1개,당일 (04/28),"1,827",1일전 (04/27),"1,760",1주일전 (04/21),"1,993",2주일전 (04/14),"1,492",1개월전,"1,853",1년전,"1,500",일평년,"1,600"
24,당근,232,무세척(1kg),01,상품,04,1kg,당일 (04/28),"4,759",1일전 (04/27),"4,787",1주일전 (04/21),"5,126",2주일전 (04/14),"4,903",1개월전,"5,070",1년전,"3,663",일평년,"3,586"
25,당근,232,무세척(1kg),01,중품,05,1kg,당일 (04/28),"3,415",1일전 (04/27),"3,415",1주일전 (04/21),"3,500",2주일전 (04/14),"3,500",1개월전,"3,415",1년전,"2,165",일평년,"2,521"
26,열무,233,열무(1kg),00,상품,04,1kg,당일 (04/28),"2,491",1일전 (04/27),"2,491",1주일전 (04/21),"2,649",2주일전 (04/14),"2,935",1개월전,"3,152",1년전,"2,925",일평년,"2,180"
27,건고추,241,화건(600g),00,상품,04,600g,당일 (04/28),"18,950",1일전 (04/27),"18,950",1주일전 (04/21),"18,950",2주일전 (04/14),"18,950",1개월전,"18,720",1년전,"11,980",일평년,"18,127"
28,건고추,241,양건(600g),02,상품,04,600g,당일 (04/28),"19,800",1일전 (04/27),"19,800",1주일전 (04/21),"19,800",2주일전 (04/14),"19,800",1개월전,"19,800",1년전,"18,650",일평년,"22,844"
29,풋고추,242,풋고추(100g),00,상품,04,100g,당일 (04/28),"1,737",1일전 (04/27),"1,703",1주일전 (04/21),"2,362",2주일전 (04/14),"1,595",1개월전,"1,849",1년전,"1,431",일평년,"1,043"
30,풋고추,242,꽈리고추(100g),02,상품,04,100g,당일 (04/28),"1,561",1일전 (04/27),"1,533",1주일전 (04/21),"1,884",2주일전 (04/14),"1,637",1개월전,"1,552",1년전,"1,283",일평년,"1,172"
31,풋고추,242,꽈리고추(100g),02,중품,05,100g,당일 (04/28),895,1일전 (04/27),895,1주일전 (04/21),"1,000",2주일전 (04/14),"1,000",1개월전,919,1년전,730,일평년,738
32,풋고추,242,청양고추(100g),03,상품,04,100g,당일 (04/28),"1,081",1일전 (04/27),"1,081",1주일전 (04/21),"1,089",2주일전 (04/14),"1,177",1개월전,"1,486",1년전,913,일평년,821
33,풋고추,242,청양고추(100g),03,중품,05,100g,당일 (04/28),625,1일전 (04/27),625,1주일전 (04/21),670,2주일전 (04/14),690,1개월전,945,1년전,630,일평년,611
34,풋고추,242,오이맛고추(150g),04,상품,04,150g,당일 (04/28),"1,753",1일전 (04/27),"1,761",1주일전 (04/21),"1,939",2주일전 (04/14),"1,633",1개월전,"1,697",1년전,"1,328",일평년,"1,328"
35,붉은고추,243,붉은고추(100g),00,상품,04,100g,당일 (04/28),"3,090",1일전 (04/27),"3,056",1주일전 (04/21),"3,634",2주일전 (04/14),"3,302",1개월전,"3,200",1년전,"1,646",일평년,"1,801"
36,양파,245,양파(1kg),00,상품,04,1kg,당일 (04/28),"2,110",1일전 (04/27),"2,221",1주일전 (04/21),"2,423",2주일전 (04/14),"2,725",1개월전,"2,902",1년전,"1,825",일평년,"2,117"
37,파,246,대파(1kg),00,상품,04,1kg,당일 (04/28),"2,730",1일전 (04/27),"2,730",1주일전 (04/21),"2,927",2주일전 (04/14),"3,001",1개월전,"3,412",1년전,"2,198",일평년,"2,346"
38,파,246,대파(1kg),00,중품,05,1kg,당일 (04/28),"2,080",1일전 (04/27),"2,080",1주일전 (04/21),"2,000",2주일전 (04/14),"2,000",1개월전,"2,512",1년전,"1,660",일평년,"1,436"
39,파,246,쪽파(1kg),02,상품,04,1kg,당일 (04/28),"6,932",1일전 (04/27),"6,898",1주일전 (04/21),"5,552",2주일전 (04/14),"5,082",1개월전,"4,984",1년전,"5,812",일평년,"5,010"
40,파,246,쪽파(1kg),02,중품,05,1kg,당일 (04/28),"3,400",1일전 (04/27),"3,400",1주일전 (04/21),"3,400",2주일전 (04/14),"3,400",1개월전,"3,500",1년전,"3,797",일평년,"3,028"
41,생강,247,국산(1kg),00,상품,04,1kg,당일 (04/28),"14,274",1일전 (04/27),"14,274",1주일전 (04/21),"14,970",2주일전 (04/14),"13,748",1개월전,"13,771",1년전,"7,781",일평년,"11,680"
42,고춧가루,248,국산(1kg),00,상품,04,1kg,당일 (04/28),"35,864",1일전 (04/27),"35,700",1주일전 (04/21),"33,997",2주일전 (04/14),"33,197",1개월전,"34,900",1년전,"31,967",일평년,"32,187"
43,고춧가루,248,중국(1kg),01,상품,04,1kg,당일 (04/28),"14,200",1일전 (04/27),"14,200",1주일전 (04/21),"14,200",2주일전 (04/14),"13,900",1개월전,"12,900",1년전,"12,000",일평년,"11,464"
44,미나리,252,미나리(100g),00,상품,04,100g,당일 (04/28),"1,179",1일전 (04/27),"1,274",1주일전 (04/21),"1,274",2주일전 (04/14),"1,309",1개월전,"1,496",1년전,636,일평년,694
45,깻잎,253,깻잎(100g),00,상품,04,100g,당일 (04/28),"2,557",1일전 (04/27),"2,479",1주일전 (04/21),"2,553",2주일전 (04/14),"2,370",1개월전,"2,417",1년전,"2,535",일평년,"1,864"
46,피망,255,청(100g),00,상품,04,100g,당일 (04/28),"1,485",1일전 (04/27),"1,485",1주일전 (04/21),"1,463",2주일전 (04/14),"1,447",1개월전,"1,665",1년전,"1,447",일평년,894
47,파프리카,256,파프리카(200g),00,상품,04,200g,당일 (04/28),"1,643",1일전 (04/27),"1,672",1주일전 (04/21),"1,834",2주일전 (04/14),"1,710",1개월전,"2,097",1년전,"1,427",일평년,"1,385"
48,파프리카,256,파프리카(200g),00,중품,05,200g,당일 (04/28),"1,443",1일전 (04/27),"1,500",1주일전 (04/21),"1,580",2주일전 (04/14),"1,580",1개월전,"1,660",1년전,"1,125",일평년,"1,120"
49,멜론,257,멜론(1개),00,상품,04,1개,당일 (04/28),"13,595",1일전 (04/27),"13,928",1주일전 (04/21),"16,298",2주일전 (04/14),"18,698",1개월전,"16,833",1년전,"13,250",일평년,"12,045"
50,깐마늘(국산),258,깐마늘(국산)(1kg),01,상품,04,1kg,당일 (04/28),"12,214",1일전 (04/27),"12,214",1주일전 (04/21),"12,784",2주일전 (04/14),"12,741",1개월전,"12,743",1년전,"12,890",일평년,"10,254"
51,깐마늘(국산),258,깐마늘(국산)(1kg),01,중품,05,1kg,당일 (04/28),"10,153",1일전 (04/27),"9,830",1주일전 (04/21),"10,540",2주일전 (04/14),"10,207",1개월전,"9,830",1년전,"9,165",일평년,"7,583"
52,방울토마토,422,방울토마토(1kg),01,상품,04,1kg,당일 (04/28),"7,895",1일전 (04/27),"7,895",1주일전 (04/21),"8,310",2주일전 (04/14),"7,480",1개월전,"11,230",1년전,"9,450",일평년,"6,906"
53,방울토마토,422,대추방울토마토(1kg),02,상품,04,1kg,당일 (04/28),"6,400",1일전 (04/27),"6,367",1주일전 (04/21),"6,700",2주일전 (04/14),"7,776",1개월전,"10,349",1년전,"6,702",일평년,"7,080"
