,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
0,소,4301,안심,21,1++등급,01,100g,당일 (04/28),"14,287",1일전 (04/27),"14,260",1주일전 (04/21),"14,103",2주일전 (04/14),"14,178",1개월전,"14,044",1년전,"16,512",일평년,-
1,소,4301,안심,21,1+등급,02,100g,당일 (04/28),"13,925",1일전 (04/27),"13,910",1주일전 (04/21),"13,021",2주일전 (04/14),"13,067",1개월전,"13,070",1년전,"16,149",일평년,-
2,소,4301,안심,21,1등급,03,100g,당일 (04/28),"12,769",1일전 (04/27),"12,765",1주일전 (04/21),"12,109",2주일전 (04/14),"12,193",1개월전,"12,149",1년전,"14,065",일평년,-
3,소,4301,등심,22,1++등급,01,100g,당일 (04/28),"14,370",1일전 (04/27),"14,387",1주일전 (04/21),"12,343",2주일전 (04/14),"12,359",1개월전,"13,268",1년전,"14,583",일평년,-
4,소,4301,등심,22,1+등급,02,100g,당일 (04/28),"10,975",1일전 (04/27),"10,973",1주일전 (04/21),"10,316",2주일전 (04/14),"10,376",1개월전,"10,444",1년전,"13,510",일평년,-
5,소,4301,등심,22,1등급,03,100g,당일 (04/28),"9,473",1일전 (04/27),"9,471",1주일전 (04/21),"9,166",2주일전 (04/14),"9,153",1개월전,"8,800",1년전,"11,031",일평년,-
6,소,4301,설도,36,1++등급,01,100g,당일 (04/28),"5,565",1일전 (04/27),"5,571",1주일전 (04/21),"4,385",2주일전 (04/14),"4,394",1개월전,"4,792",1년전,"5,399",일평년,-
7,소,4301,설도,36,1+등급,02,100g,당일 (04/28),"4,482",1일전 (04/27),"4,477",1주일전 (04/21),"4,061",2주일전 (04/14),"4,056",1개월전,"4,216",1년전,"4,876",일평년,-
8,소,4301,설도,36,1등급,03,100g,당일 (04/28),"4,204",1일전 (04/27),"4,205",1주일전 (04/21),"4,028",2주일전 (04/14),"4,033",1개월전,"4,012",1년전,"4,638",일평년,-
9,소,4301,양지,40,1++등급,01,100g,당일 (04/28),"6,214",1일전 (04/27),"6,214",1주일전 (04/21),"6,119",2주일전 (04/14),"6,139",1개월전,"6,115",1년전,"6,225",일평년,-
10,소,4301,양지,40,1+등급,02,100g,당일 (04/28),"5,163",1일전 (04/27),"5,159",1주일전 (04/21),"5,542",2주일전 (04/14),"5,549",1개월전,"5,549",1년전,"6,793",일평년,-
11,소,4301,양지,40,1등급,03,100g,당일 (04/28),"4,967",1일전 (04/27),"4,963",1주일전 (04/21),"5,226",2주일전 (04/14),"5,251",1개월전,"5,225",1년전,"6,298",일평년,-
12,소,4301,갈비,50,1++등급,01,100g,당일 (04/28),"8,884",1일전 (04/27),"8,877",1주일전 (04/21),"8,973",2주일전 (04/14),"8,848",1개월전,"8,763",1년전,"7,916",일평년,-
13,소,4301,갈비,50,1+등급,02,100g,당일 (04/28),"7,312",1일전 (04/27),"7,312",1주일전 (04/21),"7,281",2주일전 (04/14),"7,231",1개월전,"7,343",1년전,"7,687",일평년,-
14,소,4301,갈비,50,1등급,03,100g,당일 (04/28),"6,651",1일전 (04/27),"6,602",1주일전 (04/21),"6,634",2주일전 (04/14),"6,639",1개월전,"6,757",1년전,"7,360",일평년,-
15,돼지,4304,앞다리,25,앞다리,00,100g,당일 (04/28),"1,265",1일전 (04/27),"1,265",1주일전 (04/21),"1,269",2주일전 (04/14),"1,266",1개월전,"1,251",1년전,"1,366",일평년,-
16,돼지,4304,삼겹살,27,삼겹살,00,100g,당일 (04/28),"2,475",1일전 (04/27),"2,470",1주일전 (04/21),"2,327",2주일전 (04/14),"2,329",1개월전,"2,256",1년전,"2,542",일평년,-
17,돼지,4304,갈비,28,갈비,00,100g,당일 (04/28),"1,249",1일전 (04/27),"1,251",1주일전 (04/21),"1,280",2주일전 (04/14),"1,283",1개월전,"1,287",1년전,"1,409",일평년,-
18,돼지,4304,목심,68,목심,00,100g,당일 (04/28),"2,287",1일전 (04/27),"2,288",1주일전 (04/21),"2,098",2주일전 (04/14),"2,098",1개월전,"2,058",1년전,"2,364",일평년,-
19,수입 소고기,4401,갈비,31,미국산,81,100g,당일 (04/28),"3,708",1일전 (04/27),"3,711",1주일전 (04/21),"3,872",2주일전 (04/14),"3,888",1개월전,"3,767",1년전,"4,366",일평년,-
20,수입 소고기,4401,갈비,31,호주산,82,100g,당일 (04/28),"4,060",1일전 (04/27),"4,060",1주일전 (04/21),"3,818",2주일전 (04/14),"3,805",1개월전,"3,997",1년전,"4,259",일평년,-
21,수입 소고기,4401,갈비살,37,미국산,81,100g,당일 (04/28),"4,589",1일전 (04/27),"4,589",1주일전 (04/21),"4,225",2주일전 (04/14),"4,238",1개월전,"4,519",1년전,"4,207",일평년,-
22,수입 소고기,4401,갈비살,37,호주산,82,100g,당일 (04/28),0,1일전 (04/27),0,1주일전 (04/21),0,2주일전 (04/14),0,1개월전,0,1년전,"4,996",일평년,-
23,수입 돼지고기,4402,삼겹살,27,삼겹살,00,100g,당일 (04/28),"1,461",1일전 (04/27),"1,457",1주일전 (04/21),"1,451",2주일전 (04/14),"1,449",1개월전,"1,461",1년전,"1,406",일평년,-
24,닭,9901,육계(kg),99,육계(kg),00,1kg,당일 (04/28),"6,246",1일전 (04/27),"6,242",1주일전 (04/21),"6,120",2주일전 (04/14),"6,136",1개월전,"6,105",1년전,"6,335",일평년,-
25,계란,9903,특란10구,21,일반란,71,10구,당일 (04/28),"3,653",1일전 (04/27),"3,653",1주일전 (04/21),"3,653",2주일전 (04/14),"3,699",1개월전,"3,718",1년전,"3,555",일평년,-
26,계란,9903,특란10구,21,등급란,72,10구,당일 (04/28),"4,492",1일전 (04/27),"4,492",1주일전 (04/21),"4,492",2주일전 (04/14),"4,505",1개월전,"4,416",1년전,"5,239",일평년,-
27,계란,9903,특란30구,23,일반란,71,30구,당일 (04/28),"6,549",1일전 (04/27),"6,549",1주일전 (04/21),"6,531",2주일전 (04/14),"6,509",1개월전,"6,317",1년전,"6,965",일평년,-
28,계란,9903,특란30구,23,등급란,72,30구,당일 (04/28),"7,160",1일전 (04/27),"7,160",1주일전 (04/21),"7,160",2주일전 (04/14),"7,160",1개월전,"7,627",1년전,"10,250",일평년,-
29,우유,9908,흰우유,01,흰우유,00,1L,당일 (04/28),"2,933",1일전 (04/27),"2,931",1주일전 (04/21),"2,896",2주일전 (04/14),"2,898",1개월전,"2,891",1년전,"2,747",일평년,-
