,item_name,item_code,kind_code,rank,rank_code,unit,day1,dpr1
0,소 안심,4301,21,1++등급,1,1,당일 (04/28),142870
1,소 등심,4301,22,1++등급,1,1,당일 (04/28),143700
2,소 설도,4301,36,1++등급,1,1,당일 (04/28),55650
3,소 양지,4301,40,1++등급,1,1,당일 (04/28),62140
4,소 갈비,4301,50,1++등급,1,1,당일 (04/28),88840
5,돼지 앞다리,4304,25,앞다리,0,1,당일 (04/28),12650
6,돼지 삼겹살,4304,27,삼겹살,0,1,당일 (04/28),24750
7,돼지 갈비,4304,28,갈비,0,1,당일 (04/28),12490
8,돼지 목심,4304,68,목심,0,1,당일 (04/28),22870
9,수입 소고기 갈비,4401,31,미국산,81,1,당일 (04/28),37080
10,수입 소고기 갈비,4401,31,호주산,82,1,당일 (04/28),40600
11,수입 소고기 갈비살,4401,37,미국산,81,1,당일 (04/28),45890
12,수입 돼지고기 삼겹살,4402,27,삼겹살,0,1,당일 (04/28),14610
13,닭 육계(kg),9901,99,육계(kg),0,1,당일 (04/28),6246
14,계란 특란30구,9903,23,등급란,72,1,당일 (04/28),119333
15,우유 흰우유,9908,1,흰우유,0,1,당일 (04/28),2933
