,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
12,물오징어,619,원양(냉동)(1마리),05,小,22,1마리,당일 (04/28),"2,720",1일전 (04/27),"2,693",1주일전 (04/21),"2,810",2주일전 (04/14),"2,450",1개월전,"2,613",1년전,-,일평년,-
13,건멸치,638,건멸치(100g),00,중품,05,100g,당일 (04/28),"2,859",1일전 (04/27),"2,859",1주일전 (04/21),"2,800",2주일전 (04/14),"2,804",1개월전,"2,903",1년전,"2,516",일평년,"2,535"
14,건오징어,640,건오징어(10마리),00,중품,05,10마리,당일 (04/28),"72,445",1일전 (04/27),"69,033",1주일전 (04/21),"68,080",2주일전 (04/14),"65,657",1개월전,"68,790",1년전,"61,326",일평년,"59,862"
15,김,641,마른김(10장),00,중품,05,10장,당일 (04/28),970,1일전 (04/27),970,1주일전 (04/21),970,2주일전 (04/14),945,1개월전,945,1년전,947,일평년,893
16,김,641,얼구운김(10장),01,중품,05,10장,당일 (04/28),"1,677",1일전 (04/27),"1,677",1주일전 (04/21),"1,677",2주일전 (04/14),"1,620",1개월전,"1,612",1년전,"1,664",일평년,"1,504"
17,건미역,642,건미역(100g),00,상품,04,100g,당일 (04/28),"2,854",1일전 (04/27),"2,769",1주일전 (04/21),"2,776",2주일전 (04/14),"2,697",1개월전,"2,929",1년전,"2,927",일평년,"2,768"
18,굴,644,굴(1kg),00,상품,04,1kg,당일 (04/28),-,1일전 (04/27),-,1주일전 (04/21),-,2주일전 (04/14),"20,633",1개월전,"20,656",1년전,-,일평년,-
19,수입조기,649,부세수입(냉동)(1마리),04,중품,05,1마리,당일 (04/28),"3,835",1일전 (04/27),"3,835",1주일전 (04/21),"3,835",2주일전 (04/14),"3,723",1개월전,"3,697",1년전,"3,758",일평년,"3,939"
20,새우젓,650,새우젓(1kg),00,상품,04,1kg,당일 (04/28),"18,727",1일전 (04/27),"18,727",1주일전 (04/21),"18,727",2주일전 (04/14),"18,727",1개월전,"18,727",1년전,"22,456",일평년,"21,693"
21,멸치액젓,651,멸치액젓(1kg),00,상품,04,1kg,당일 (04/28),"5,895",1일전 (04/27),"5,895",1주일전 (04/21),"5,895",2주일전 (04/14),"5,895",1개월전,"5,895",1년전,"5,347",일평년,"4,980"
22,굵은소금,652,굵은소금(5kg),00,상품,04,5kg,당일 (04/28),"13,058",1일전 (04/27),"13,048",1주일전 (04/21),"13,248",2주일전 (04/14),"13,269",1개월전,"13,069",1년전,"12,486",일평년,"7,795"
23,전복,653,전복(5마리),00,중품,05,5마리,당일 (04/28),"13,174",1일전 (04/27),"13,105",1주일전 (04/21),"12,618",2주일전 (04/14),"14,467",1개월전,"15,907",1년전,"15,605",일평년,"14,357"
24,새우,654,흰다리(수입)(10마리),01,중품,05,10마리,당일 (04/28),"4,481",1일전 (04/27),"4,481",1주일전 (04/21),"4,689",2주일전 (04/14),"4,438",1개월전,"4,414",1년전,"4,321",일평년,"4,788"
