,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
0,고등어,611,염장(2마리),03,중품,05,2마리,당일 (04/28),"3,660",1일전 (04/27),"3,660",1주일전 (04/21),"3,615",2주일전 (04/14),"4,240",1개월전,"4,620",1년전,"3,500",일평년,"3,177"
1,고등어,611,국산(신선 냉장)(1마리),05,大,20,1마리,당일 (04/28),"5,215",1일전 (04/27),"5,627",1주일전 (04/21),"4,740",2주일전 (04/14),-,1개월전,"6,675",1년전,-,일평년,-
2,고등어,611,국산(냉동)(1마리),06,大,20,1마리,당일 (04/28),"4,725",1일전 (04/27),"4,173",1주일전 (04/21),"4,547",2주일전 (04/14),"4,358",1개월전,"4,543",1년전,-,일평년,-
3,꽁치,612,냉동(수입)(5마리),01,중품,05,5마리,당일 (04/28),"6,695",1일전 (04/27),"6,556",1주일전 (04/21),"6,856",2주일전 (04/14),"6,856",1개월전,"6,726",1년전,"6,376",일평년,"4,048"
4,갈치,613,국산(냉장)(1마리),03,中,21,1마리,당일 (04/28),"9,108",1일전 (04/27),"9,108",1주일전 (04/21),"9,590",2주일전 (04/14),"9,710",1개월전,"9,533",1년전,-,일평년,-
5,갈치,613,국산(냉동)(1마리),04,中,21,1마리,당일 (04/28),"5,348",1일전 (04/27),"5,348",1주일전 (04/21),"4,670",2주일전 (04/14),"4,574",1개월전,"5,068",1년전,-,일평년,-
6,조기,614,참조기(냉동)(1마리),06,中,21,1마리,당일 (04/28),"1,407",1일전 (04/27),"1,407",1주일전 (04/21),"1,357",2주일전 (04/14),"1,400",1개월전,"1,410",1년전,-,일평년,-
7,조기,614,참조기(냉동)(1마리),06,小,22,1마리,당일 (04/28),"1,043",1일전 (04/27),"1,043",1주일전 (04/21),"1,043",2주일전 (04/14),953,1개월전,955,1년전,-,일평년,-
8,명태,615,수입산(냉동)(1마리),04,大,20,1마리,당일 (04/28),"3,907",1일전 (04/27),"3,907",1주일전 (04/21),"3,848",2주일전 (04/14),"3,461",1개월전,"3,663",1년전,-,일평년,-
9,물오징어,619,연근해(냉동)(1마리),04,中,21,1마리,당일 (04/28),"5,165",1일전 (04/27),"5,165",1주일전 (04/21),"5,053",2주일전 (04/14),"4,970",1개월전,"5,137",1년전,-,일평년,-
10,물오징어,619,연근해(냉동)(1마리),04,小,22,1마리,당일 (04/28),-,1일전 (04/27),"4,450",1주일전 (04/21),"4,450",2주일전 (04/14),"3,117",1개월전,-,1년전,-,일평년,-
11,물오징어,619,원양(냉동)(1마리),05,中,21,1마리,당일 (04/28),"3,413",1일전 (04/27),"3,935",1주일전 (04/21),"3,525",2주일전 (04/14),"4,067",1개월전,"3,900",1년전,-,일평년,-
