,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
0,쌀,111,일반계(20kg),01,상품,04,20kg,당일 (04/17),"50,129",1일전 (04/16),-,1주일전 (04/10),"48,800",2주일전 (04/03),"49,086",1개월전,"49,691",1년전,"50,825",일평년,"51,390"
1,찹쌀,112,일반계(1kg),01,상품,04,1kg,당일 (04/17),"3,559",1일전 (04/16),-,1주일전 (04/10),"3,559",2주일전 (04/03),"3,573",1개월전,"3,539",1년전,"3,554",일평년,"4,384"
2,콩,141,흰 콩(국산)(500g),01,상품,04,500g,당일 (04/17),"5,954",1일전 (04/16),-,1주일전 (04/10),"6,377",2주일전 (04/03),"6,377",1개월전,"6,367",1년전,"6,351",일평년,"5,238"
3,팥,142,붉은 팥(국산)(500g),00,상품,04,500g,당일 (04/17),"7,387",1일전 (04/16),-,1주일전 (04/10),"8,021",2주일전 (04/03),"8,021",1개월전,"8,054",1년전,"9,270",일평년,"8,697"
4,녹두,143,국산(500g),00,상품,04,500g,당일 (04/17),"10,415",1일전 (04/16),-,1주일전 (04/10),"10,415",2주일전 (04/03),"13,315",1개월전,"13,650",1년전,"14,050",일평년,"8,591"
5,고구마,151,밤(1kg),00,상품,04,1kg,당일 (04/17),"5,727",1일전 (04/16),-,1주일전 (04/10),"5,598",2주일전 (04/03),"5,543",1개월전,"5,317",1년전,"4,943",일평년,"5,542"
6,고구마,151,밤(1kg),00,중품,05,1kg,당일 (04/17),"4,245",1일전 (04/16),-,1주일전 (04/10),"4,245",2주일전 (04/03),"4,160",1개월전,"4,160",1년전,"4,495",일평년,"4,479"
7,감자,152,수미(100g),01,상품,04,100g,당일 (04/17),694,1일전 (04/16),-,1주일전 (04/10),690,2주일전 (04/03),677,1개월전,638,1년전,541,일평년,541
8,감자,152,수미(100g),01,중품,05,100g,당일 (04/17),600,1일전 (04/16),-,1주일전 (04/10),582,2주일전 (04/03),578,1개월전,488,1년전,413,일평년,427
