,item_name,item_code,kind_code,rank,rank_code,unit,day1,dpr1
0,배추 월동(1포기),211,6,상품,4,1,당일 (04/28),1.1
1,양배추 양배추(1포기),212,0,상품,4,1,당일 (04/28),1.2
2,시금치 시금치(1kg),213,0,상품,4,1,당일 (04/28),5.8
3,상추 적(100g),214,1,상품,4,1,당일 (04/28),10.8
4,상추 청(100g),214,2,상품,4,1,당일 (04/28),11.5
5,얼갈이배추 얼갈이배추(1kg),215,0,상품,4,1,당일 (04/28),2.6
6,수박 수박(1개),221,0,상품,4,1,당일 (04/28),2.2
7,참외 참외(10개),222,0,상품,4,1,당일 (04/28),6.8
8,오이 가시계통(10개),223,1,상품,4,1,당일 (04/28),5.7
9,오이 다다기계통(10개),223,2,상품,4,1,당일 (04/28),3.2
10,오이 취청(10개),223,3,상품,4,1,당일 (04/28),4.6
11,호박 애호박(1개),224,1,상품,4,1,당일 (04/28),3.5
12,호박 쥬키니(1개),224,2,상품,4,1,당일 (04/28),2.6
13,토마토 토마토(1kg),225,0,상품,4,1,당일 (04/28),5.2
14,딸기 딸기(100g),226,0,상품,4,1,당일 (04/28),11.1
15,무 월동(1개),231,6,상품,4,1,당일 (04/28),1.0
16,당근 무세척(1kg),232,1,상품,4,1,당일 (04/28),4.8
17,열무 열무(1kg),233,0,상품,4,1,당일 (04/28),2.5
18,건고추 화건(600g),241,0,상품,4,1,당일 (04/28),31.6
19,건고추 양건(600g),241,2,상품,4,1,당일 (04/28),33.0
20,풋고추 풋고추(100g),242,0,상품,4,1,당일 (04/28),17.4
21,풋고추 꽈리고추(100g),242,2,상품,4,1,당일 (04/28),15.6
22,풋고추 청양고추(100g),242,3,상품,4,1,당일 (04/28),10.8
23,풋고추 오이맛고추(150g),242,4,상품,4,1,당일 (04/28),17.5
24,붉은고추 붉은고추(100g),243,0,상품,4,1,당일 (04/28),30.9
25,양파 양파(1kg),245,0,상품,4,1,당일 (04/28),2.1
26,파 대파(1kg),246,0,상품,4,1,당일 (04/28),2.7
27,파 쪽파(1kg),246,2,상품,4,1,당일 (04/28),6.9
28,생강 국산(1kg),247,0,상품,4,1,당일 (04/28),14.3
29,고춧가루 국산(1kg),248,0,상품,4,1,당일 (04/28),35.9
30,고춧가루 중국(1kg),248,1,상품,4,1,당일 (04/28),14.2
31,미나리 미나리(100g),252,0,상품,4,1,당일 (04/28),11.8
32,깻잎 깻잎(100g),253,0,상품,4,1,당일 (04/28),25.6
33,피망 청(100g),255,0,상품,4,1,당일 (04/28),14.8
34,파프리카 파프리카(200g),256,0,상품,4,1,당일 (04/28),8.2
35,멜론 멜론(1개),257,0,상품,4,1,당일 (04/28),7.6
36,깐마늘(국산) 깐마늘(국산)(1kg),258,1,상품,4,1,당일 (04/28),12.2
37,방울토마토 방울토마토(1kg),422,1,상품,4,1,당일 (04/28),7.9
38,방울토마토 대추방울토마토(1kg),422,2,상품,4,1,당일 (04/28),6.4
