,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
0,쌀,111,일반계(20kg),01,상품,04,20kg,당일 (04/28),"50,414",1일전 (04/27),"50,414",1주일전 (04/21),"50,414",2주일전 (04/14),"49,514",1개월전,"48,800",1년전,"50,629",일평년,"51,154"
1,찹쌀,112,일반계(1kg),01,상품,04,1kg,당일 (04/28),"3,580",1일전 (04/27),"3,580",1주일전 (04/21),"3,580",2주일전 (04/14),"3,559",1개월전,"3,531",1년전,"3,782",일평년,"4,365"
2,콩,141,흰 콩(국산)(500g),01,상품,04,500g,당일 (04/28),"5,348",1일전 (04/27),"5,348",1주일전 (04/21),"5,976",2주일전 (04/14),"6,377",1개월전,"6,377",1년전,"6,351",일평년,"5,239"
3,팥,142,붉은 팥(국산)(500g),00,상품,04,500g,당일 (04/28),"7,563",1일전 (04/27),"7,563",1주일전 (04/21),"8,039",2주일전 (04/14),"7,726",1개월전,"8,080",1년전,"8,557",일평년,"8,688"
4,녹두,143,국산(500g),00,상품,04,500g,당일 (04/28),"10,455",1일전 (04/27),"10,455",1주일전 (04/21),"10,415",2주일전 (04/14),"10,415",1개월전,"13,650",1년전,"14,050",일평년,"8,594"
5,고구마,151,밤(1kg),00,상품,04,1kg,당일 (04/28),"5,797",1일전 (04/27),"5,797",1주일전 (04/21),"5,327",2주일전 (04/14),"5,727",1개월전,"5,543",1년전,"5,539",일평년,"5,867"
6,고구마,151,밤(1kg),00,중품,05,1kg,당일 (04/28),"4,495",1일전 (04/27),"4,495",1주일전 (04/21),"4,245",2주일전 (04/14),"4,245",1개월전,"4,160",1년전,"4,495",일평년,"4,434"
7,감자,152,수미(100g),01,상품,04,100g,당일 (04/28),663,1일전 (04/27),663,1주일전 (04/21),677,2주일전 (04/14),683,1개월전,675,1년전,600,일평년,539
8,감자,152,수미(100g),01,중품,05,100g,당일 (04/28),588,1일전 (04/27),588,1주일전 (04/21),600,2주일전 (04/14),588,1개월전,583,1년전,487,일평년,434
