RCP_SNO,SRAP_CNT,ING_INFO
1805081,933,고추 배추 양파 무무
1806582,980,
1808210,769,고추 대파 마늘
1808833,677,
1809118,711,마늘 버섯
1809423,1754,고추 대파 마늘
1815641,658,고추 당근 대파 마늘 양파 고춧가루 버섯 무무
1816135,790,
1819918,927,고추 당근 양파
1821222,635,
1822438,975,고추 마늘 양파
1824346,2420,고추 마늘 양파 고춧가루
1825280,829,
1826770,3596,대파
1828369,716,마늘 고춧가루
1828534,1097,
1831127,2774,계란 고추 마늘
1839398,1161,고추 마늘 무무
1839459,1816,계란 고추 마늘 양파
1844934,1577,마늘 양파
1846982,880,고추 대파 마늘 양파 고춧가루 버섯
1850302,1222,고추 대파 마늘
1852688,1182,당근 양파
1860413,1546,감자 고추 대파 마늘 고춧가루 버섯
1863768,2159,고추 대파 마늘 양파 버섯
1866299,678,고추 대파 마늘 배추 고춧가루
1867091,1937,마늘 배추 고춧가루 무무
1869012,806,감자 계란 고추 대파 마늘 양파
1870277,1273,양파 고춧가루
1870825,609,고구마
1872510,1283,양파
1882571,856,고추 마늘
1883668,778,대파 마늘 고춧가루
1883916,648,
1883972,3727,고추 대파 마늘 양파 고춧가루
1886499,918,고추 마늘
1886654,679,
1891889,764,대파 마늘 배추 양파
1894779,1341,계란
1895462,1478,감자 고추 마늘 양파 고춧가루 버섯
1899643,804,계란 고추 대파 마늘 양파 고춧가루
1899806,741,
1899887,762,감자 마늘 양파
1903013,689,
1907735,916,마늘
1908114,1026,마늘
1912734,1716,
1914845,685,고추 대파 마늘 양파 고춧가루
1916951,654,양파
1921616,1270,계란 당근 양파 오이
1922328,1163,감자 고추 대파 마늘 양파
1924083,726,고추 당근 대파 마늘 양파 고춧가루
1926574,1309,감자 고추 대파 마늘 양파 고춧가루
1927297,985,고추 마늘 배추 양파 고춧가루
1932227,1842,감자 고추 당근 대파 마늘 고춧가루 버섯
1937879,678,마늘 양파
1939349,1205,감자 고추 당근 대파 마늘 양파 고구마
1942757,1170,마늘 양파 오이 고춧가루
1945723,730,감자 고추 당근 대파 마늘 고춧가루
1950092,632,대파 마늘
1952563,756,고추 당근
1953122,662,고추 마늘 양파 고춧가루
1956642,652,마늘 양파
1956664,1153,상추
1964300,3636,대파
1969205,686,양파 오이
1970874,1650,당근 마늘 양파 고춧가루
1973282,3560,계란 고추 당근 대파 마늘 배추 고춧가루
1973740,1381,고추 대파 마늘 양파 고춧가루
1978636,855,감자 고추 마늘 양파 고춧가루
1979100,1679,
1983865,638,감자 고추 당근 대파 마늘 양파 고춧가루 버섯
1983881,717,당근 대파 마늘 양파
1985725,687,
1991671,1161,고추 마늘
1992134,1057,계란 마늘 양파
1993907,760,오이
1993986,785,마늘 양파 고구마
1996354,732,
1997270,3710,마늘
1999303,624,마늘 오이 고춧가루
1999315,1188,양파 고구마
2001279,858,고추 마늘 양파 고춧가루
2001621,1082,양파 오이 고춧가루
2001921,996,감자 당근 마늘 양파
2003821,870,고추 무무
2004594,642,고추 당근 대파 마늘 양파
2006625,807,고추 대파 마늘 양파 고춧가루
2008996,872,오이 무무
2010958,666,감자 고추 대파 마늘 양파 버섯
2013467,2565,감자 고추 당근 버섯
2015902,706,감자 계란 당근 양파
2017354,808,고추 대파 마늘 양파 앞다리
2017454,3573,양파
2021356,1495,계란 당근 대파 마늘 양파 오이
2022118,889,계란 당근 고춧가루
2023994,1046,계란 고추 당근 마늘 양파
2025115,1385,마늘 고춧가루
2025233,1377,감자 양파 오이
2026376,2805,
2299270,791,마늘 배추
2299637,1472,
2300828,880,대파 버섯
2301617,1474,양파
2301646,1546,계란 당근
2302505,1431,계란 고추 대파 마늘 양파
2306439,623,고추 마늘
2307220,1106,고추 마늘 양파 고춧가루 무무
2308961,718,고추 대파 마늘
2310639,1977,계란 당근 배추 상추
2310929,1865,고추 마늘 고춧가루
2311603,1048,마늘 양파 버섯
2316387,776,계란
2317685,819,
2319296,711,대파 마늘 양파 버섯
2326959,1390,대파 마늘 양파
2328895,3843,
2329926,754,고추 마늘 고춧가루 삼겹살
2334982,809,
2336723,666,
2336803,727,고추 마늘
2337047,616,
2337069,911,고추
2340065,670,감자 양파
2340995,874,감자 당근
2342071,2785,
2343178,1499,양파
2347231,930,배추 양파 오이
2347994,1264,고추 당근 양파
2351505,737,
2351687,799,당근 무무
2355210,797,고구마
2357288,659,계란 마늘 양파
2357630,1715,고추 대파 마늘 양파 고춧가루
2358818,1184,대파 마늘
2360672,1849,고추 양파
2371977,1008,고추 당근 대파 마늘 양파 오이
2372532,1119,계란 고추 당근 마늘 양파 오이 무무
2373346,3389,당근
2380373,1132,토마토
2382597,796,고추 당근
2385980,673,고추 마늘
2386112,718,
2391967,776,고추 대파 마늘 양파 고춧가루 앞다리
2394891,734,계란
2395976,832,대파 마늘 고춧가루 버섯 무무
2398182,736,마늘
2399193,5645,고추 대파 마늘 양파
2401257,976,마늘 고춧가루
2404722,1553,버섯
2404860,730,양파 버섯
2412717,619,
2412797,862,마늘 배추 양파 토마토 버섯
2416561,1207,고추 마늘 양파 무무
2430679,873,양파 고구마 토마토
2433227,2462,고추 대파 마늘
2440377,691,마늘
2442087,1742,계란
2443223,611,마늘
2444709,1305,마늘 양파 고춧가루
2447734,925,버섯
2448878,791,계란
2449871,683,마늘 양파 토마토
2449982,938,마늘
2460025,791,
2464708,827,고추 마늘 상추 무무
2467403,626,당근 대파 마늘
2469204,1170,고춧가루
2469487,893,당근 양파 토마토
2470651,2024,대파 무무
2472273,999,
2474123,806,계란
2476380,1244,마늘 양파
2477488,1000,고추 대파 마늘 배추 고춧가루
2479374,884,감자 고추 당근 마늘 양파
2480375,847,
2482777,690,대파 마늘 무무
2483433,784,계란 상추
2483437,603,고추 상추 무무
2483650,801,양파
2491644,685,대파 마늘
2491796,642,계란
2497170,645,
2497869,1540,계란 양파
2498144,763,
2498345,1001,고추 마늘 버섯
2499779,1413,고추 대파 마늘 배추 고춧가루
2501147,644,고추 마늘
2502354,3544,고추 대파 마늘
2508119,1141,고추 마늘 양파 고춧가루
2511002,778,계란 당근 마늘 오이 버섯 무무
2521323,5164,대파 삼겹살
2522461,748,당근 오이
2526243,1422,무무
2528933,1489,마늘
2529380,1937,
2529790,1012,고추 마늘 양파
2532506,685,계란
2535943,605,고추 대파 마늘 양파 고춧가루 무무
2538223,619,마늘 고춧가루
2541809,805,감자 고추 마늘 양파 고춧가루
2542556,808,
2547051,2416,계란 고추 당근 마늘 양파
